Sequence Name;Group
BK6SC1_1_4156;1394
BK6SC1_1_4480;1394
BK6SC1_1_4650;1394
BK6SC1_1_5018;1394
BK6SC1_1_5272;1394
BK6SC1_1_5334;1394
BK6SC1_1_5762;1394
BK6SC1_1_5879;1394
BK6SC1_1_6099;1394
BK6SC1_1_6611;1394
BK6SC1_1_6877;1394
BK6SC1_1_7013;1394
BK6SC1_1_7209;1394
BK6SC1_1_7415;1394
BK6SC1_1_7750;1394
BK6SC1_1_7883;1394
BK6SC1_1_7910;1394
BK6SC1_1_7973;1394
BK6SC1_1_8232;1394
BK6SC1_2_450;1394
BK6SC1_2_462;1394
BK6SC1_2_1175;1394
BK6SC1_2_1629;1394
BK6SC1_2_2181;1394
BK6SC1_2_2594;1394
BK6SC1_2_2764;1394
BK6SC1_2_2792;1394
BK6SC1_2_3093;1394
BK6SC1_2_3144;1394
BK6SC1_2_3168;1394
BK6SC1_2_3372;1394
BK6SC1_3_646;1394
BK6SC1_3_2254;1394
BK6SC1_3_3108;1394
BK6SC1_3_3853;1394
BK6SC1_3_3933;1394
BK6SC1_3_4088;1394
BK6SC1_3_4658;1394
BK6SC1_3_4773;1394
BK6SC1_3_5274;1394
BK6SC1_3_5279;1394
BK6SC1_3_5687;1394
BK6SC1_3_5874;1394
